ID,Nº,ENFOMASYON,ADRéS,latitud,longitud,Name
379,15,Ampliación de madera en el primer piso,Empresario Ariztía Block 663 dpto 101,-33.6785,-71.199,36
380,16,,Empresario Ariztia Block 671 depto 104,-33.6786,-71.1987,36
381,17,,"Empresario Ariztia Block 671 depto 205, padre hurt",-33.67867,-71.19877,36
382,18,,Empresario Ariztia Block 671 depto 305,-33.6786,-71.19879,36
383,19,,Empresario Ariztía block 699 depto 307,-33.6785,-71.1984,36
384,20,,Empresario Manuel Ariztía block 589 depto 101,-33.6785,-71.19999,36
385,21,,Empresario Manuel Ariztia block 589 depto 207,-33.6785,-71.2001,36
386,22,,Empresario Manuel Ariztía block 595 depto 201,-33.67829,-71.1996,36
387,23,,Hnas. Marambio Block 188 depto 305,-33.67879,-71.2001,36
388,24,,Hnas. Marambio block 188 depto 306,-33.67879,-71.2001,36
389,1,,Av San Pedro 45,-33.89723,-71.45409,37
390,2,,casas que no se ven,-33.88299,-71.47239,37
391,3,media agua,cerca vulcanizado,-33.9028,-71.469,37
392,4,pedir permiso antes de entrar,detrás ferretería primera casa,-33.8967,-71.4542,37
393,5,,dos casas media agua,-33.8828,-71.4718,37
394,6,,frente a agrosuper,-33.9,-71.40599,37
395,7,cactus viejo frente,la polvadera casa roja 681,-33.88989,-71.4698,37
396,8,(es una pica' de camioneros),Pieza en restorant churrascamion,-33.88787,-71.46714,37
397,9,casa de maderas,plantación frutillas,-33.90179,-71.4679,37
398,10,,pob 1,-33.89849,-71.4692,37
399,11,,pob 2,-33.8981,-71.4709,37
400,12,,pob 3,-33.89849,-71.4698,37
401,13,,pob 4,-33.8986,-71.4698,37
402,14,,pob 5,-33.8987,-71.4698,37
403,15,,pob 6,-33.8982,-71.4699,37
404,16,"local puerta blanca, pilares",san pedro(al lado de local),-33.89739,-71.45349,37
405,1,1era casa (a mano derecha) después del portón negro,Calle Mercedes (fondo a la izquierda),-33.92011,-71.50798,38
406,2,,callejón,-33.9154,-71.5024,38
407,3,,callejon del colegio aldunate al fondo,-33.9677,-71.4989,38
408,4,,camino a la mina,-33.91339,-71.47499,38
409,5,casa adobe al lado del galpon,carretera sn,-33.9163,-71.45449,38
410,6,casa de don tito santibáñez,casa adobe antigua,-33.9179,-71.5044,38
411,7,,Casa amarilla de madera,-33.92152,-71.50843,38
412,8,,Casa verde con amarillo,-33.91879,-71.5085,38
413,9,,frente a calle del salon,-33.92419,-71.4634,38
414,10,casa roja,Frente al salon,-33.91849,-71.4869,38
415,11,por la carretera,lado restaurante tia lore,-33.91749,-71.4588,38
416,12,frente a iglesia evangelica,llamkay 1,-33.9104,-71.43849,38
417,13,,llamkay 2,-33.91019,-71.4384,38
418,14,,llamkay 3,-33.9103,-71.43859,38
419,15,"bandera mapuche, despues negocio oropel",media agua ampliación,-33.9239,-71.521,38
420,16,,pob el prado,-33.9217,-71.50849,38
421,17,casa esquina,población nuevo amanecer,-33.9133,-71.44129,38
422,18,"villa nvo amanecer, el yali (frente a cancha)",San Pedro 1212,-33.91338,-71.44292,38
423,19,"villa nvo amanecer, al lado de la 1257",San Pedro 1255,-33.91371,-71.44154,38
424,20,"villa nvo amanecer, antena directv",San Pedro 1257,-33.9137,-71.44163,38
425,21,casa de madera al final del callejon,San Pedro 1281,-33.91421,-71.43865,38
426,22,frente a los juegos,yali 583,-33.91479,-71.44,38
427,1,,"Arturo Prat 269, tiene varios locales rojos ",-33.6519,-71.14939,39
428,2,"frente a parcela 8, esquina",Chiñigue las rosas,-33.66529,-71.10469,39
429,3,"2 pisos, 1ra parcela mano izquierda",Chiñigue por las rosas,-33.66859,-71.1054,39
430,4,casa azul,General baquedano casa 240,-33.64789,-71.14929,39
431,5,,Irarrazabal casa blanca con ventanas azul,-33.64867,-71.15198,39
432,6,,Rafael Morandé lado derecho 384.,-33.65089,-71.14829,39
433,7,,"Roberto Bravo 454, Pomaire, Melipilla, Región Metropolitana, Chile",-33.649023,-71.149595,39
434,8,,Roberto Bravo 580,-33.64688,-71.14939,39
435,9,,Roberto bravo al lado izquierdo del local 46,-33.6505,-71.14971,39
436,10,"casa roja, primera casa después peladero",San Antonio,-33.6491,-71.151,39
437,11,casa roja,San Antonio 205,-33.65302,-71.15142,39
438,1,,Adolfo Larrain Valdivieso 364,-33.680987,-71.234834,4
439,2,,"Alejandro González Vial 2279, 9581906 Melipilla, Región Metropolitana, Chile",-33.68008,-71.233928,4
440,3,,"Alfredo Marín Diabuno 2270, 9581911 Melipilla, Región Metropolitana, Chile",-33.68077,-71.23416,4
441,4,,Alfredo Marin Diabuno 2271,-33.680946,-71.234252,4
442,5,,"Armando Cortez 321, 9581735 Melipilla, Región Metropolitana, Chile",-33.68074115,-71.23251136,4
443,6,,"Av. Circunvalación 2110, altos de cantillana",-33.68579,-71.23429,4
444,7,,Casa Esquina Luis Hevia / Lorgio Dañoabeitia,-33.68161,-71.23364,4
445,8,,Juan de Dios Diaz 2215,-33.6804,-71.23442,4
446,9,Frente al 2255,Juan de Dios Diaz 2263,-33.68059,-71.2342,4
447,10,,Lastenia Álvarez 2258,-33.68008,-71.23363,4
448,11,,Luis Hevia 2215,-33.68167,-71.23368,4
449,12,,Merced 2123,-33.680575,-71.232426,4
450,13,,Merced 2227,-33.68019,-71.2331,4
451,14,,"Raul Silva Henriquez, Melipilla, Región Metropolitana, Chile",-33.681648,-71.230466,4
452,15,,"Raul Silva Henriquez, Melipilla, Región Metropolitana, Chile",-33.681648,-71.230466,4
453,16,,Valentín silva 301,-33.6809,-71.2319,4
454,1,,Adentro de la parcela,-33.74739,-71.3299,40
455,2,justo en la curva,Almacen valle de vida,-33.7633,-71.29579,40
456,3,,Atrás de la cancha,-33.7701,-71.2696,40
457,4,segunda casa mano derecha,Camino codihua 13,-33.7705,-71.26319,40
458,5,primera casa madera izquierda,Camino Codihua 13 (poste 020),-33.77059,-71.26349,40
459,6,,Casa 271,-33.75709,-71.3252,40
460,7,,Casa 401,-33.75646,-71.32534,40
461,8,,Casa 404,-33.75623,-71.32541,40
462,9,eucalipto,Codigua cerca comisaría,-33.7512,-71.32589,40
463,10,primer porton,En el poste 125,-33.7573,-71.3224,40
464,11,al lado del colibrí,En Ruta,-33.7713,-71.24649,40
465,12,,Frente a carnicería,-33.7661,-71.27729,40
466,13,,Rukaraku,-33.76639,-71.28859,40
467,14,,San Manuel 399,-33.7569,-71.32499,40
468,15,casa verde,San Rafael,-33.756,-71.2991,40
469,16,en el poste 002,Segunda casa a mano derecha,-33.7573,-71.32099,40
470,1,,A un costado de taller.,-33.7444,-71.2309,41
471,2,casa alero subir mano derecha,Al fondo callejón mano derecha,-33.74639,-71.23329,41
472,3,,Al lado letrero fin concesión variante melipilla,-33.7192,-71.21169,41
473,4,,Cabaña 2,-33.7452,-71.23149,41
474,5,,Casa 2,-33.74729,-71.23229,41
475,6,,Casa 44,-33.719237,-71.212988,41
476,7,,Casa 45,-33.719291,-71.213268,41
477,8,,Casa 47,-33.719307,-71.213166,41
478,9,,Casa 53,-33.719093,-71.21296,41
479,10,,Casa amarilla 1,-33.7472,-71.23229,41
480,11,,Casa roja (la primera),-33.716717,-71.211193,41
481,12,,Casa verde esquina toma,-33.7164,-71.21095,41
482,13,segunda,Casa verde oliva,-33.71673,-71.21131,41
483,14,,Club de tenis Melipilla,-33.71939,-71.2088,41
484,15,después posta,Pabellón calle tierra izquierda,-33.74789,-71.19519,41
485,1,,Caletera autopista del sol,-33.65969,-71.2506,42
486,2,"final pasaje, frente a gran casa",Camino montaña adentro,-33.6575,-71.33339,42
487,3,antes de llegar a puente,Frente a parcela 22,-33.6633,-71.33049,42
488,4,,"G-78 51650, Melipilla",-33.66461,-71.32788,42
489,5,poblacion sta rosa,Pasaje jade 60,-33.65639,-71.2804,42
490,6,,Santa rosa 142,-33.66379,-71.2758,42
491,7,porton madera,Santa rosa poste 004,-33.6631,-71.27529,42
492,1,casa rosada de madera,Angol/paradero 4 casa 137,-33.571263,-71.206558,43
493,2,,"Anselmo Alarcon 509, primera casa",-33.570154,-71.205658,43
494,3,,Anselmo Alarcon 785,-33.570811,-71.201641,43
495,4,al medio del terreno,"Calle Sin Nombre, casa de madera ",-33.566857,-71.216453,43
496,5,casa amarilla,El Litre 206,-33.568971,-71.219695,43
497,6,,Entre botilleria y marisquería,-33.570501,-71.20405,43
498,7,casa grande 2 pisos,Las Culebras Verdes 1501A,-33.567293,-71.211283,43
499,8,hay varias piezas adentro,Las Culebras Verdes 174,-33.568066,-71.21375,43
500,9,atrás de botilleria el choly,Los Maquis 135,-33.569489,-71.21358,43
501,10,atrás de almacen,Los Maquis esquina Los Espinos,-33.569063,-71.217466,43
502,11,"Casa de al fondo, entrar por reja lateral.","Los Peumos S/N, sitio 9",-33.569893,-71.215508,43
503,12,viven haitianos en las 2 casas del terreno,Los Robles 7266,-33.568205,-71.217929,43
504,13,,Pasaje el peumo 219,-33.568683,-71.220489,43
505,14,casa roja,Pasaje entre panadería bollenar y bencinera,-33.570847,-71.205818,43
506,15,,Tricahue 1431,-33.567171,-71.22143,43
507,1,Casa blanca,Av Mallarauco 324,-33.579911,-71.032249,44
508,2,Casa verde,Av Mallarauco 334,-33.579938,-71.033439,44
509,3,Entrar por el lado,Casa atrás del negocio,-33.578475,-71.015447,44
510,4,Varias piezas en esta dirección,Esperanza 99,-33.582937,-71.021132,44
511,5,,Juan Mussri (frente al 10),-33.582896,-71.022252,44
512,6,Casa azul,Juan Mussri 89,-33.582538,-71.021158,44
513,7,Casa roja,Las Golondrinas 97,-33.583128,-71.021124,44
514,8,Casa esquina de madera,Santa Victoria de Mallarauco 570,-33.585533,-71.052822,44
515,1,"Color roja, viven varios haitianos. ","El Boldo, Casa esquina S/N. ",-33.456992,-71.09694,45
516,2,,"El Boldo, Casa esquina S/N. Color roja.",-33.457001,-71.097015,45
517,3,última casa a mano izquierda.,El Quillay S/N.,-33.454507,-71.096775,45
518,4,,El Quillay S/N. última casa a mano izquierda.,-33.45452,-71.096818,45
519,5,Casa con malla color azul en el exterior.,"El Quisco, casa de dos pisos. ",-33.458692,-71.09665,45
520,6,,"El Quisco, casa de dos pisos. Casa con malla color azul",-33.458705,-71.096648,45
521,7,"Casa esquina, viven haitianos.",Los Espinos / El Quisco.,-33.457918,-71.096933,45
522,8,,Los Espinos / El Quisco. Casa esquina.,-33.457919,-71.096914,45
523,9,Casa verde a mano derecha.,Pje. El Acacio S/N.,-33.455193,-71.097469,45
524,10,,Pje. El Acacio S/N. Casa verde a mano derecha.,-33.45521,-71.097477,45
525,1,Gran Ampliación,Bruno Romanini 2094,-33.67789,-71.2313,5
526,2,,Hilda Reyes Catalán 2107,-33.67829,-71.23249,5
527,3,,Hilda Reyes Catalán 2110,-33.6781,-71.23269,5
528,4,Población Obispo Lizama,Hilda Reyes Catalán 2111,-33.67819,-71.23269,5
529,5,No tiene número visible,Hilda Reyes Catalán 2113,-33.67813,-71.23291,5
530,6,,Hilda Reyes Catalán 2118,-33.67794,-71.23299,5
531,7,Casa Roja,Ramón Núñez 16,-33.67739,-71.23249,5
532,8,,Rolando Nuñez Jorquera 44,-33.67713,-71.23282,5
533,9,,Victor Marín 18,-33.6777,-71.2321,5
534,1,,Juan Pablo II 2070,-33.6799,-71.23139,6
535,2,Lado de 120 pieza calipso,Juan Pablo XXIII,-33.67979,-71.2313,6
536,3,,Papa Juan XXIII 118,-33.67974,-71.23118,6
537,4,Casa Esq. 2 pisos,Papa Juan XXIII frente a la 107,-33.67929,-71.2311,6
538,5,,Papa Leon XIII 2076,-33.67948,-71.23142,6
539,6,Pob. Lizama,Papa Leon Xlll 2085,-33.6796,-71.23159,6
540,7,,"Pasaje Papa - Pío X 131, 9581699 Melipilla, Región Metropolitana, Chile",-33.68007,-71.232018,6
541,8,,Raúl Silva Henríquez 2107,-33.6789,-71.233,6
542,9,,San Pedro 140,-33.68009,-71.23179,6
543,10,,"San Pedro 2069, 9581697 Melipilla, Región Metropolitana, Chile",-33.680177,-71.231505,6
544,11,,"San Pedro 2071, 9581697 Melipilla, Región Metropolitana, Chile",-33.680167,-71.231562,6
545,12,J.Pablo II,San Pedro 2075,-33.68009,-71.23159,6
546,13,,San Pedro 2075,-33.679955,-71.231583,6
547,14,,"Sor Teresa de Calcuta 2097, 9581714 Melipilla, Región Metropolitana, Chile",-33.679297,-71.232754,6
548,15,,"Sor Teresa de Calcuta 2099, 9581714 Melipilla, Región Metropolitana, Chile",-33.679189,-71.233058,6
549,1,,Emilio Sánchez Sandoval 102,-33.679,-71.23,7
550,2,Lado derecho,Emilio Sánchez Sandoval 122,-33.6799,-71.2309,7
551,3,,Emilio Sanchez Sandoval 81,-33.679432,-71.230596,7
552,4,,Emilio Sanchez Sandoval 81,-33.67943,-71.23059,7
553,5,Una calle al norte de Juan Obrero,Luciano Sanchez 1839,-33.68023,-71.22933,7
554,6,,Mario Chuescas Tasara 1832,-33.679,-71.22899,7
555,7,,Monseñor Luis Borremans  115,-33.68009,-71.2295,7
556,8,Pob. Benjamin Ulloa,Monseñor Luis Borremans 147,-33.6805,-71.22969,7
557,9,,Psj. Juan Hernández M. 1832,-33.67929,-71.22899,7
558,1,Portón negro,Carlos Aviles - Frente al 148,-33.68068,-71.229,8
559,2,,Las Araucarias 1734 (Elodie),-33.680649,-71.227929,8
560,3,,Las Camelias 105,-33.6808,-71.22692,8
561,4,,Las Camelias 197,-33.681532,-71.226996,8
562,5,,Las Magnolias 154,-33.681348,-71.227409,8
563,6,,Las Magnolias 69,-33.68013,-71.22735,8
564,7,,"Las Magnolias 69, 9580244 Melipilla, Región Metropolitana, Chile",-33.680211,-71.227271,8
565,8,Al lado de negocio,Las Magnolias 74,-33.6804,-71.2273,8
566,9,,Las Magnolias 84,-33.6805,-71.2274,8
567,10,,"Los Canelos 1721, 9580248 Melipilla, Región Metropolitana, Chile",-33.679337,-71.227806,8
568,11,,Los Copihues 177,-33.68139,-71.22779,8
569,12,,Los Copihues 178,-33.6813,-71.22789,8
570,13,,Los Sauces 1709,-33.680366,-71.227625,8
571,14,,Los Sauces 1758,-33.6803,-71.2281,8
572,1,,El Belloto 1242,-33.6805,-71.22519,9
573,2,,El Belloto 1309,-33.68055,-71.22551,9
574,3,Esquina Las Araucarias,Hanga Roa 100,-33.68099,-71.2254,9
575,4,Villa 14 de diciembre,La Patagua,-33.68009,-71.2244,9
576,5,,Las Araucarias 1137,-33.68108,-71.22341,9
577,6,Con El Mañio,Las Araucarias 1140,-33.68099,-71.22339,9
578,7,,"Las Araucarias 1247, 9581131 Melipilla, Región Metropolitana, Chile",-33.681084,-71.225029,9
579,8,,Las Araucarias 1254,-33.6809,-71.22509,9
580,9,Llegando a Las Torres,Las Araucarias 1259,-33.68099,-71.22509,9
581,10,Pob. El Canelo,Pasaje El Laurel 46,-33.6804,-71.2237,9
